name	taxRank	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Spirosomaceae	F	12521	12286	12401	12484	12312	12448	12500	12509	12427	12460	12405	12364	12166	12282	12336	12336	12420	12263	12592	12335	12439	12439	12383	12474	12389	12317	12303	12388	12273	12321	12310	12508	12446	12436	12534	12308	12235	12400	12350	12351	12334	12268	12375	12233	12457	12459	12284	12381	12495	12455	12477	12168	12395	12466	12413	12213	12498	12454	12400	12440	12416	12416	12480	12312	12388	12503	12493	12557	12270	12404	12525	12491	12413	12401	12308	12212	12367	12347	12409	12209	12349	12441	12387	12499	12288	12245	12302	12248	12298	12195	12436	12339	12583	12370	12394	12362	12360	12415	12335	12257
Cyclobacteriaceae	F	19	17	22	24	20	11	14	25	17	20	23	11	20	19	28	12	19	13	18	15	16	23	11	14	9	17	21	16	18	17	12	16	23	20	22	13	14	18	18	19	11	17	16	16	17	19	17	15	19	14	9	17	19	17	22	21	14	11	19	21	17	20	27	24	18	16	11	24	18	14	17	19	14	27	9	27	15	19	20	22	23	19	18	19	17	18	25	20	20	21	25	24	25	16	19	15	22	12	14	18
Microscillaceae	F	18	15	20	12	16	9	19	20	18	20	16	21	13	15	9	22	10	10	16	10	20	12	11	15	13	15	19	12	19	14	19	17	15	16	11	14	11	12	8	11	14	14	26	14	8	7	12	21	14	10	24	24	17	12	14	14	20	15	13	9	22	16	15	13	13	19	17	22	14	19	20	15	15	16	13	11	21	20	10	11	11	13	15	22	17	13	12	18	15	16	24	13	17	13	14	15	14	9	20	16
Hymenobacteraceae	F	7	8	12	5	12	11	4	8	9	7	10	7	7	13	7	17	11	11	8	10	10	12	10	6	9	12	2	4	14	5	15	9	9	7	6	8	10	20	12	13	10	7	9	13	8	15	10	5	11	6	13	9	9	6	11	11	9	11	13	10	14	16	6	10	8	14	6	11	7	13	8	19	9	10	14	11	10	8	7	9	10	12	8	12	9	13	9	9	9	9	10	8	7	11	10	11	10	7	10	10
Cytophagaceae	F	7	8	7	9	5	5	2	3	7	3	8	10	8	7	8	7	9	7	6	5	3	6	4	7	11	11	10	10	8	8	7	6	6	3	10	9	9	6	16	7	6	7	9	8	13	10	6	9	4	9	4	6	3	6	6	5	8	9	4	9	7	11	6	10	7	5	2	8	8	9	7	8	10	6	8	9	17	7	10	7	11	9	6	6	5	9	6	5	7	5	6	10	7	7	3	8	10	4	3	6
Amoebophilaceae	F	3	4	3	1	1	1	2	1	1	1	5	4	4	5	1	2	3	3	3	2	2	5	5	3	4	5	3	3	2	5	3	1	1	1	0	3	1	3	3	2	4	1	2	3	2	3	0	1	7	2	2	3	4	1	3	2	5	7	1	2	1	2	6	2	2	1	1	4	3	0	4	3	3	3	3	2	1	5	3	2	3	0	2	2	2	1	0	2	4	1	2	0	2	0	3	3	4	1	3	1
Flammeovirgaceae	F	1	4	1	0	1	1	1	1	2	3	1	1	0	1	1	1	4	2	0	0	0	2	0	2	0	3	0	0	1	0	0	1	1	0	1	0	1	4	1	1	0	5	1	1	3	2	1	1	1	1	1	0	1	4	1	1	1	0	0	2	1	2	2	1	2	1	2	1	1	1	4	1	2	0	3	1	2	1	1	1	0	4	0	1	1	1	2	0	3	0	4	0	0	1	2	1	1	3	0	1
NS11-12 marine group	F	1712	1767	1760	1824	1767	1767	1762	1725	1739	1841	1753	1816	1798	1813	1771	1775	1764	1743	1711	1825	1817	1732	1802	1808	1776	1749	1757	1777	1700	1776	1794	1788	1785	1801	1715	1742	1801	1891	1772	1785	1757	1790	1714	1755	1837	1794	1727	1758	1766	1725	1777	1874	1779	1807	1783	1786	1753	1729	1790	1752	1757	1746	1698	1767	1812	1818	1699	1718	1818	1852	1694	1743	1720	1765	1807	1786	1791	1818	1740	1787	1704	1747	1736	1742	1843	1807	1814	1780	1759	1797	1796	1830	1787	1736	1738	1744	1724	1792	1813	1744
Sphingobacteriaceae	F	31	32	33	32	24	33	37	27	25	35	17	30	25	23	26	29	30	28	24	23	32	30	24	25	23	32	29	28	35	33	21	18	29	29	26	33	34	28	24	28	36	28	30	44	32	38	36	23	25	31	33	38	31	28	23	32	30	24	24	37	26	34	25	22	26	29	26	27	27	24	18	35	30	18	34	33	27	27	30	29	25	34	23	30	24	41	37	32	30	31	32	34	27	19	33	26	25	25	28	32
env.OPS 17	F	0	0	4	1	3	1	2	0	2	4	1	1	3	4	1	1	1	4	1	1	3	1	1	1	3	1	3	3	2	0	0	2	2	0	0	3	3	1	4	0	2	0	3	2	3	4	4	1	1	2	2	4	2	1	1	1	0	1	1	1	1	1	0	4	0	3	2	3	4	2	3	0	0	1	2	2	1	2	2	3	0	1	1	1	1	3	3	2	2	1	2	0	0	3	2	0	3	1	0	2
Lentimicrobiaceae	F	3	3	4	2	2	3	0	5	4	3	3	5	4	3	5	5	3	3	4	1	2	6	4	3	4	0	2	1	4	2	1	3	2	4	4	4	0	2	2	2	1	6	4	5	6	5	1	5	1	2	3	5	4	2	0	5	3	3	1	0	6	6	2	1	4	8	3	6	2	4	3	1	6	4	1	3	4	1	0	6	5	2	4	2	7	5	4	4	6	1	4	1	5	6	1	5	1	0	3	2
AKYH767	F	2	2	6	6	7	5	3	9	2	1	1	3	8	4	6	9	5	1	4	4	5	6	6	3	4	4	4	10	5	5	7	8	6	10	4	6	6	3	2	6	3	5	3	5	3	6	5	4	6	5	2	4	7	2	6	3	2	5	6	9	6	6	1	3	4	6	4	2	6	5	5	6	4	2	8	4	6	3	8	3	7	4	6	6	4	5	8	4	4	4	7	2	6	9	5	5	7	5	9	8
LiUU-11-161	F	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	0	0	0	2	1	0	0	0	0	1	0	1	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
KD1-131	F	0	2	1	2	0	0	0	0	0	1	0	0	1	1	0	1	0	1	0	1	1	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	1	1	1	0	0	1	0	1	0	1	0	1	0	0	2	0	0	1	1	0	1	0	1	2	0	0	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	0	1	0	0
