	1-April_family.tsv	1-August_family.tsv	1-June_family.tsv	2-April_family.tsv	2-August_family.tsv	3-April_family.tsv	4-April_family.tsv	4-August_family.tsv	5-April_family.tsv	5-August_family.tsv	6-August_family.tsv	6-June_family.tsv	7-April_family.tsv	8-April_family.tsv	9.1-August_family.tsv	9.2-August_family.tsv	Mock-April_family.tsv	Mock-August_family.tsv	Mock-June_family.tsv	N-August_family.tsv
Herpetosiphonaceae	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Holophagaceae	0.0	0.0	0.0	4.0	0.0	0.0	6.0	0.0	1.0	0.0	2.0	3.0	5.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0
Holosporaceae	2.0	4.0	0.0	1.0	0.0	2.0	1.0	3.0	3.0	2.0	5.0	3.0	17.0	10.0	10.0	16.0	0.0	0.0	0.0	0.0
Hydrogenedensaceae	0.0	3.0	3.0	8.0	9.0	0.0	2.0	8.0	5.0	6.0	1.0	0.0	9.0	22.0	1.0	0.0	0.0	0.0	0.0	56.0
Hydrogenophilaceae	7.0	12.0	14.0	34.0	13.0	6.0	26.0	5.0	40.0	12.0	10.0	12.0	248.0	10.0	1.0	14.0	0.0	0.0	0.0	0.0
Hymenobacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0
Hyphomicrobiaceae	11.0	11.0	44.0	82.0	98.0	12.0	27.0	93.0	19.0	21.0	27.0	36.0	240.0	135.0	30.0	24.0	0.0	0.0	0.0	0.0
Hyphomonadaceae	0.0	2.0	1.0	1.0	3.0	0.0	1.0	0.0	6.0	1.0	2.0	0.0	43.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0
Iamiaceae	0.0	1.0	5.0	5.0	4.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0
Ignavibacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ilumatobacteraceae	5.0	4.0	27.0	27.0	25.0	7.0	7.0	38.0	7.0	18.0	17.0	11.0	6.0	39.0	105.0	124.0	0.0	0.0	0.0	0.0
Immundisolibacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Inquilinaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Intrasporangiaceae	0.0	2.0	0.0	4.0	5.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	137.0	2.0	0.0	0.0	0.0	0.0	4.0
Isosphaeraceae	2.0	4.0	0.0	16.0	5.0	0.0	2.0	22.0	0.0	0.0	5.0	4.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
JG30-KF-CM45	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
JTB215	0.0	0.0	0.0	0.0	9.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KCLunmb-38-53	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KD1-131	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KD3-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KD3-93	1.0	3.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	2.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kaistiaceae	0.0	1.0	0.0	3.0	4.0	2.0	1.0	7.0	0.0	1.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kangiellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kiloniellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kineosporiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Kiritimatiellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LH041	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Labraceae	0.0	2.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	3.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0
Lachnospiraceae	104.0	8.0	20.0	144.0	21.0	120.0	58.0	40.0	82.0	47.0	30.0	17.0	52.0	220.0	24.0	18.0	0.0	1.0	0.0	20.0
Lactobacillaceae	0.0	1.0	9.0	1.0	3.0	1.0	1.0	2.0	0.0	8.0	2.0	12.0	5.0	6.0	1.0	0.0	1742.0	1720.0	1731.0	0.0
Latescibacteraceae	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Leeiaceae	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Legionellaceae	29.0	22.0	14.0	35.0	29.0	20.0	23.0	61.0	6.0	25.0	20.0	16.0	257.0	50.0	17.0	30.0	0.0	0.0	0.0	0.0
Lenti-02	0.0	0.0	0.0	3.0	4.0	0.0	2.0	1.0	4.0	2.0	0.0	4.0	9.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Lentimicrobiaceae	2.0	1.0	0.0	4.0	1.0	1.0	1.0	1.0	10.0	5.0	0.0	3.0	4.0	8.0	4.0	0.0	0.0	0.0	0.0	0.0
Lentisphaeraceae	3.0	3.0	11.0	2.0	17.0	3.0	10.0	7.0	4.0	2.0	0.0	2.0	12.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0
Leptolyngbyaceae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Leptospiraceae	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	1.0	1.0	2.0	0.0	0.0	29.0	2.0	0.0	0.0	0.0	0.0	0.0
Leptotrichiaceae	21.0	6.0	7.0	0.0	1.0	12.0	1.0	1.0	13.0	1.0	4.0	0.0	3.0	4.0	7.0	0.0	0.0	0.0	0.0	0.0
Leuconostocaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LiUU-11-161	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0
Listeriaceae	2.0	4.0	3.0	2.0	4.0	0.0	1.0	3.0	0.0	9.0	6.0	14.0	3.0	3.0	5.0	0.0	2824.0	2598.0	3001.0	0.0
Longimicrobiaceae	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
M2PB4-65 termite group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MA-28-I98C	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAT-CR-H6-H10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ML635J-40 aquatic group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MSB-3C8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Magnetococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	3.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Magnetospiraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Magnetospirillaceae	2.0	2.0	2.0	3.0	7.0	1.0	4.0	21.0	1.0	0.0	2.0	0.0	36.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Marinifilaceae	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	0.0	3.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0
Marinilabiliaceae	2.0	1.0	0.0	0.0	1.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Methylococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Methyloligellaceae	1.0	12.0	13.0	40.0	49.0	6.0	7.0	37.0	8.0	11.0	11.0	19.0	85.0	12.0	8.0	6.0	0.0	0.0	0.0	9.0
Methylomirabilaceae	1.0	3.0	0.0	6.0	0.0	3.0	1.0	6.0	1.0	1.0	1.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	6.0
Methylomonaceae	0.0	0.0	0.0	2.0	0.0	0.0	3.0	1.0	0.0	1.0	5.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Methylophilaceae	566.0	390.0	807.0	172.0	164.0	183.0	244.0	697.0	197.0	626.0	814.0	640.0	534.0	163.0	183.0	253.0	1.0	3.0	6.0	398.0
Methylopilaceae	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Micavibrionaceae	3.0	0.0	0.0	2.0	9.0	2.0	0.0	14.0	5.0	1.0	0.0	0.0	17.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Microbacteriaceae	99.0	995.0	1554.0	173.0	1776.0	111.0	138.0	919.0	80.0	515.0	556.0	187.0	32.0	71.0	508.0	373.0	0.0	3.0	5.0	1209.0
Micrococcaceae	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Microcystaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Micromonosporaceae	0.0	0.0	5.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Micropepsaceae	0.0	6.0	4.0	10.0	22.0	3.0	5.0	16.0	11.0	5.0	4.0	0.0	64.0	6.0	9.0	18.0	0.0	0.0	0.0	0.0
Microscillaceae	5.0	7.0	4.0	7.0	1.0	4.0	12.0	64.0	36.0	8.0	7.0	8.0	5.0	30.0	5.0	0.0	0.0	0.0	0.0	0.0
Microtrichaceae	0.0	2.0	4.0	5.0	21.0	0.0	3.0	4.0	0.0	1.0	1.0	0.0	0.0	62.0	5.0	10.0	0.0	0.0	0.0	0.0
MidBa8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Midichloriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	6.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Mitochondria	7.0	2.0	0.0	7.0	6.0	10.0	6.0	10.0	14.0	9.0	7.0	6.0	92.0	5.0	4.0	10.0	0.0	0.0	0.0	0.0
Moduliflexaceae	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Moraxellaceae	44.0	68.0	91.0	47.0	38.0	9.0	53.0	52.0	11.0	5.0	12.0	11.0	702.0	61.0	8.0	13.0	0.0	0.0	0.0	0.0
Muribaculaceae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Mycobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Mycoplasmataceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NS11-12 marine group	4811.0	2208.0	3728.0	2042.0	1614.0	6638.0	4086.0	3612.0	7813.0	10009.0	6930.0	1669.0	2434.0	2479.0	7981.0	5968.0	4.0	10.0	16.0	4132.0
NS9 marine group	8.0	4.0	0.0	5.0	26.0	13.0	11.0	30.0	12.0	82.0	13.0	7.0	3.0	25.0	36.0	20.0	0.0	0.0	0.0	4.0
Nannocystaceae	0.0	1.0	0.0	6.0	3.0	0.0	0.0	6.0	3.0	2.0	0.0	0.0	9.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0
Neisseriaceae	15.0	0.0	1.0	15.0	5.0	16.0	22.0	4.0	22.0	2.0	2.0	0.0	98.0	14.0	19.0	25.0	0.0	0.0	0.0	0.0
Nitrosococcaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nitrosomonadaceae	23.0	61.0	47.0	208.0	53.0	14.0	50.0	107.0	98.0	59.0	49.0	38.0	70.0	169.0	19.0	20.0	0.0	0.0	0.0	0.0
Nitrospiraceae	8.0	7.0	7.0	37.0	16.0	1.0	17.0	27.0	19.0	5.0	7.0	1.0	231.0	588.0	9.0	0.0	0.0	0.0	0.0	0.0
Nocardiaceae	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nocardioidaceae	0.0	1.0	3.0	3.0	6.0	0.0	0.0	3.0	0.0	1.0	4.0	0.0	0.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0
Nostocaceae	0.0	0.0	22.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Oleiphilaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Oligoflexaceae	14.0	6.0	5.0	4.0	25.0	14.0	15.0	26.0	24.0	9.0	23.0	3.0	228.0	7.0	1.0	6.0	0.0	0.0	0.0	0.0
Oligosphaeraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Omnitrophaceae	3.0	3.0	10.0	13.0	6.0	19.0	22.0	12.0	32.0	16.0	16.0	17.0	10.0	8.0	5.0	0.0	0.0	0.0	0.0	0.0
Opitutaceae	23.0	42.0	132.0	71.0	48.0	57.0	121.0	259.0	157.0	109.0	97.0	332.0	248.0	22.0	10.0	7.0	0.0	1.0	0.0	37.0
Orbaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P13-46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P3OB-42	0.0	2.0	0.0	7.0	8.0	0.0	2.0	7.0	9.0	6.0	3.0	3.0	29.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
P6-b51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PBS-18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PHOS-HE36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRD18C08	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Paenibacillaceae	0.0	9.0	3.0	8.0	16.0	0.0	4.0	43.0	2.0	23.0	8.0	11.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	34.0
Paludibacteraceae	11.0	1.0	0.0	4.0	0.0	4.0	1.0	1.0	4.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Paracaedibacteraceae	36.0	10.0	21.0	52.0	44.0	32.0	111.0	76.0	104.0	10.0	40.0	4.0	135.0	59.0	26.0	12.0	0.0	0.0	0.0	0.0
Parvibaculaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pasteurellaceae	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Pedosphaeraceae	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Peptococcaceae	3.0	2.0	0.0	2.0	0.0	0.0	0.0	4.0	0.0	5.0	3.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
Peptostreptococcaceae	17.0	31.0	49.0	35.0	156.0	21.0	16.0	173.0	21.0	83.0	81.0	73.0	7.0	161.0	93.0	86.0	0.0	0.0	0.0	723.0
Phaselicystidaceae	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	11.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0
Phormidesmiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Phormidiaceae	0.0	0.0	3.0	3.0	0.0	6.0	282.0	1.0	10.0	0.0	1.0	0.0	1.0	12.0	6.0	27.0	0.0	0.0	0.0	0.0
Phycisphaeraceae	2.0	2.0	0.0	3.0	3.0	1.0	9.0	10.0	4.0	3.0	3.0	4.0	24.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0
Pirellulaceae	0.0	3.0	0.0	19.0	1.0	0.0	4.0	14.0	1.0	3.0	4.0	0.0	41.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0
Piscirickettsiaceae	1.0	1.0	0.0	2.0	5.0	3.0	4.0	4.0	1.0	1.0	0.0	0.0	31.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
Planococcaceae	0.0	4.0	0.0	6.0	5.0	2.0	2.0	10.0	0.0	7.0	7.0	4.0	1.0	5.0	0.0	0.0	0.0	1.0	0.0	0.0
Pleomorphomonadaceae	0.0	3.0	4.0	6.0	1.0	0.0	4.0	11.0	0.0	4.0	3.0	0.0	11.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0
Polyangiaceae	0.0	0.0	0.0	12.0	0.0	0.0	1.0	2.0	3.0	0.0	2.0	0.0	13.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0
