  1.21	3128	3128	U	0	unclassified
 98.79	255456	0	-	1	root
 98.79	255456	66	-	131567	  cellular organisms
 98.70	255220	10822	D	2	    Bacteria
 42.84	110784	1588	P	1224	      Proteobacteria
 22.22	57463	2089	C	28216	        Betaproteobacteria
 18.65	48222	1679	O	80840	          Burkholderiales
 14.42	37278	3178	F	80864	            Comamonadaceae
  5.69	14726	3	G	665874	              Limnohabitans
  4.29	11095	11095	S	1678128	                Limnohabitans sp. 63ED37-2
  1.40	3628	3628	S	1678129	                Limnohabitans sp. 103DPR2
  2.26	5834	542	G	28065	              Rhodoferax
  0.89	2291	2291	S	192843	                Rhodoferax ferrireducens
  0.54	1384	1384	S	1484693	                Rhodoferax saidenbachensis
  0.44	1137	1137	S	81479	                Rhodoferax antarcticus
  0.19	480	480	S	1842727	                Rhodoferax koreense
  1.31	3392	17	G	52972	              Polaromonas
  0.79	2044	2044	S	296591	                Polaromonas sp. JS666
  0.51	1331	1331	S	216465	                Polaromonas naphthalenivorans
  1.06	2735	22	G	47420	              Hydrogenophaga
  0.59	1533	1533	S	1842537	                Hydrogenophaga sp. RAC07
  0.32	830	830	S	1763535	                Hydrogenophaga crassostreae
  0.14	350	350	S	795665	                Hydrogenophaga sp. PBC
  0.73	1887	917	G	12916	              Acidovorax
  0.23	582	582	S	1842533	                Acidovorax sp. RAC01
  0.10	262	262	S	1662456	                Acidovorax sp. NA2
  0.02	46	46	S	358220	                Acidovorax sp. KKS102
  0.02	46	46	S	1858609	                Acidovorax sp. T1
  0.01	31	31	S	553814	                Acidovorax sp. NA3
  0.00	2	2	S	80869	                Acidovorax citrulli
  0.00	1	1	S	80867	                Acidovorax avenae
  0.64	1664	303	G	34072	              Variovorax
  0.31	814	814	S	436515	                Variovorax boronicumulans
  0.20	509	509	S	1795631	                Variovorax sp. PAMC 28711
  0.01	24	24	S	34073	                Variovorax paradoxus
  0.01	14	14	S	2126319	                Variovorax sp. PMC12
  0.48	1234	190	-	83494	              unclassified Comamonadaceae
