	1-April_genus.tsv	1-August_genus.tsv	1-June_genus.tsv	2-April_genus.tsv	2-August_genus.tsv	3-April_genus.tsv	4-April_genus.tsv	4-August_genus.tsv	5-April_genus.tsv	5-August_genus.tsv	6-August_genus.tsv	6-June_genus.tsv	7-April_genus.tsv	8-April_genus.tsv	9.1-August_genus.tsv	9.2-August_genus.tsv	Mock-April_genus.tsv	Mock-August_genus.tsv	Mock-June_genus.tsv	N-August_genus.tsv
Alkalibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkaliflexus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkaliphilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkanibacter	0.0	2.0	0.0	0.0	3.0	0.0	0.0	3.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkanindiges	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alloprevotella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	18.0	27.0	59.0	90.0	71.0	25.0	54.0	201.0	33.0	38.0	36.0	53.0	327.0	75.0	25.0	44.0	0.0	0.0	0.0	7.0
Alsobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	4.0	9.0	0.0	0.0	0.0	55.0	28.0	0.0	0.0	0.0	0.0
Altererythrobacter	17.0	18.0	28.0	30.0	45.0	18.0	22.0	25.0	10.0	21.0	17.0	27.0	150.0	19.0	67.0	62.0	0.0	0.0	0.0	5.0
Alterococcus	2.0	0.0	0.0	3.0	2.0	1.0	7.0	3.0	9.0	7.0	3.0	8.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alteromonas	0.0	0.0	0.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Alysiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amantichitinum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amaricoccus	1.0	0.0	9.0	9.0	13.0	3.0	8.0	15.0	3.0	6.0	9.0	20.0	23.0	68.0	25.0	32.0	0.0	0.0	0.0	0.0
Aminobacter	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Amnibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amoebophilaceae (uncultured)	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Amphiplicatus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ampullimonas	2.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Amylibacter	0.0	1.0	5.0	6.0	4.0	1.0	4.0	4.0	0.0	5.0	6.0	6.0	14.0	15.0	10.0	13.0	0.0	0.0	0.0	0.0
Anaerobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerobiospirillum	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerocella	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerocolumna	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerofilum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerolineaceae (uncultured)	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
Anaeromyxobacter	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	9.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerosinus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerospora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerosporobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerosporomusa	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerostipes	3.0	0.0	0.0	3.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerovibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Anaerovorax	0.0	2.0	0.0	2.0	2.0	0.0	3.0	4.0	0.0	3.0	1.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0
Ancalomicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ancylobacter	0.0	1.0	0.0	4.0	8.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Anoxybacillus	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Aphanizomenon NIES81	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquabacterium	732.0	292.0	838.0	1219.0	212.0	510.0	559.0	441.0	770.0	404.0	350.0	384.0	336.0	608.0	124.0	193.0	1.0	3.0	1.0	222.0
Aquamicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquaspirillum	0.0	0.0	7.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	4.0	0.0	2.0	8.0	0.0	0.0	0.0	0.0
Aquibacter	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquicella	5.0	0.0	0.0	9.0	2.0	6.0	1.0	4.0	4.0	2.0	4.0	0.0	22.0	14.0	8.0	0.0	0.0	0.0	0.0	0.0
Aquiflexum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquimonas	0.0	3.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquipuribacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquisphaera	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquitalea	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arcicella	58.0	57.0	38.0	10.0	28.0	61.0	39.0	10.0	27.0	27.0	12.0	15.0	15.0	19.0	38.0	18.0	0.0	0.0	0.0	55.0
Arcobacter	2349.0	196.0	145.0	290.0	139.0	3531.0	1130.0	172.0	2996.0	490.0	336.0	14.0	450.0	4011.0	4243.0	5375.0	3.0	2.0	0.0	931.0
Ardenticatenaceae (uncultured)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arenicellaceae (uncultured)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arenimonas	49.0	79.0	57.0	226.0	49.0	49.0	107.0	124.0	182.0	94.0	120.0	133.0	72.0	96.0	54.0	64.0	0.0	0.0	0.0	50.0
Armatimonas	3.0	4.0	5.0	12.0	10.0	4.0	9.0	180.0	11.0	377.0	548.0	165.0	5.0	5.0	653.0	430.0	0.0	1.0	1.0	136.0
Arsenicitalea	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arsenophonus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arthrobacter	0.0	6.0	7.0	2.0	5.0	1.0	2.0	3.0	3.0	5.0	5.0	0.0	5.0	2.0	5.0	8.0	0.0	0.0	0.0	0.0
Arthrospira PCC-7345	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ascidiaceihabitans	2.0	0.0	3.0	8.0	7.0	0.0	3.0	9.0	0.0	1.0	8.0	4.0	17.0	16.0	11.0	6.0	0.0	0.0	0.0	0.0
Asticcacaulis	1.0	2.0	0.0	2.0	9.0	2.0	0.0	17.0	3.0	1.0	1.0	0.0	27.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0
Atlantibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Aurantimicrobium	1.0	6.0	25.0	3.0	15.0	0.0	4.0	15.0	0.0	9.0	5.0	6.0	0.0	0.0	11.0	3.0	0.0	0.0	0.0	24.0
Aurantimonas	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aureimonas	0.0	1.0	0.0	1.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	4.0	2.0	6.0	0.0	0.0	0.0	0.0	0.0
Azoarcus	1.0	3.0	4.0	4.0	0.0	2.0	1.0	1.0	3.0	3.0	1.0	0.0	6.0	19.0	2.0	0.0	0.0	0.0	0.0	0.0
Azohydromonas	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Azonexus	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	0.0	8.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
Azorhizobium	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Azospira	3.0	3.0	3.0	5.0	0.0	3.0	3.0	5.0	3.0	2.0	3.0	1.0	20.0	31.0	1.0	0.0	0.0	0.0	0.0	0.0
Azospirillaceae (uncultured)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Azospirillum	2.0	2.0	3.0	2.0	7.0	0.0	0.0	14.0	1.0	5.0	1.0	0.0	8.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
Azotobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Azovibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	1.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
B48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BD1-7 clade	7.0	5.0	2.0	3.0	2.0	2.0	18.0	20.0	5.0	5.0	3.0	4.0	144.0	13.0	0.0	0.0	0.0	0.0	0.0	214.0
BIyi10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BSV13	3.0	1.0	0.0	1.0	0.0	2.0	3.0	5.0	11.0	6.0	3.0	0.0	3.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0
Bacillus	33.0	35.0	30.0	63.0	36.0	40.0	47.0	76.0	49.0	78.0	54.0	34.0	33.0	175.0	28.0	32.0	5425.0	5170.0	5086.0	39.0
Bact-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteriovoracaceae (uncultured)	2.0	0.0	0.0	0.0	1.0	2.0	1.0	5.0	11.0	4.0	3.0	0.0	44.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteriovorax	20.0	2.0	0.0	4.0	0.0	36.0	16.0	0.0	45.0	1.0	1.0	0.0	259.0	12.0	1.0	0.0	0.0	0.0	0.0	0.0
Bacteroides	26.0	7.0	6.0	15.0	5.0	31.0	17.0	5.0	16.0	6.0	4.0	0.0	6.0	9.0	3.0	13.0	0.0	0.0	0.0	0.0
Barnesiella	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bartonella	0.0	0.0	0.0	5.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Bauldia	0.0	2.0	4.0	3.0	5.0	1.0	0.0	13.0	1.0	1.0	3.0	3.0	10.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0
