	1-April_genus.tsv	1-August_genus.tsv	1-June_genus.tsv	2-April_genus.tsv	2-August_genus.tsv	3-April_genus.tsv	4-April_genus.tsv	4-August_genus.tsv	5-April_genus.tsv	5-August_genus.tsv	6-August_genus.tsv	6-June_genus.tsv	7-April_genus.tsv	8-April_genus.tsv	9.1-August_genus.tsv	9.2-August_genus.tsv	Mock-April_genus.tsv	Mock-August_genus.tsv	Mock-June_genus.tsv	N-August_genus.tsv
1174-901-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
966-1	0.0	1.0	0.0	3.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
A714019	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	4.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
A7P-90m	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
AAP99	4.0	8.0	5.0	8.0	2.0	5.0	3.0	12.0	21.0	3.0	6.0	0.0	3.0	49.0	4.0	0.0	0.0	0.0	0.0	0.0
ADurb.Bin063-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
AKYG587	0.0	1.0	0.0	0.0	0.0	0.0	2.0	4.0	0.0	0.0	0.0	4.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AT-s3-44	0.0	0.0	0.0	1.0	4.0	0.0	0.0	4.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Acanthopleuribacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacteraceae (uncultured)	0.0	0.0	2.0	3.0	4.0	0.0	0.0	16.0	4.0	2.0	2.0	8.0	17.0	1.0	1.0	9.0	0.0	0.0	0.0	0.0
Acetobacterales&nbsp;Incertae&nbsp;Sedis (uncultured)	0.0	1.0	0.0	0.0	6.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacterium	0.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetonema	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
Achromobacter	291.0	264.0	352.0	400.0	220.0	177.0	235.0	431.0	292.0	570.0	522.0	394.0	146.0	350.0	244.0	338.0	0.0	0.0	3.0	200.0
Acidaminobacter	2.0	1.0	0.0	4.0	0.0	2.0	5.0	3.0	4.0	3.0	4.0	0.0	0.0	5.0	4.0	12.0	0.0	0.0	0.0	0.0
Acidaminococcaceae (uncultured)	1.0	1.0	0.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
