	1-April_genus.tsv	1-August_genus.tsv	1-June_genus.tsv	2-April_genus.tsv	2-August_genus.tsv	3-April_genus.tsv	4-April_genus.tsv	4-August_genus.tsv	5-April_genus.tsv	5-August_genus.tsv	6-August_genus.tsv	6-June_genus.tsv	7-April_genus.tsv	8-April_genus.tsv	9.1-August_genus.tsv	9.2-August_genus.tsv	Mock-April_genus.tsv	Mock-August_genus.tsv	Mock-June_genus.tsv	N-August_genus.tsv
Roseibacillus	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Roseibacterium	0.0	2.0	3.0	2.0	6.0	0.0	1.0	3.0	0.0	0.0	3.0	3.0	11.0	4.0	12.0	0.0	0.0	0.0	0.0	0.0
Roseicitreum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Roseicyclus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Roseiflexaceae (uncultured)	0.0	0.0	0.0	3.0	4.0	0.0	0.0	0.0	2.0	1.0	2.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
Roseimarinus	2.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	3.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Roseimicrobium	3.0	0.0	0.0	3.0	0.0	8.0	2.0	9.0	6.0	8.0	9.0	0.0	9.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Roseinatronobacter	5.0	1.0	13.0	18.0	17.0	4.0	9.0	24.0	4.0	12.0	18.0	39.0	36.0	17.0	22.0	16.0	0.0	0.0	0.0	0.0
Roseitalea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Roseivivax	4.0	4.0	9.0	22.0	9.0	5.0	14.0	12.0	6.0	3.0	6.0	15.0	37.0	11.0	14.0	9.0	0.0	0.0	0.0	0.0
Rosenbergiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	7.0	2.0	0.0
Roseobacter	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	1.0	0.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
Roseobacter clade CHAB-I-5 lineage	5.0	11.0	8.0	12.0	48.0	1.0	7.0	36.0	2.0	12.0	17.0	12.0	20.0	8.0	28.0	15.0	0.0	0.0	0.0	8.0
Roseobacter clade Marinomonas lineage	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Roseobacter clade NAC11-7 lineage	7.0	4.0	10.0	12.0	25.0	4.0	7.0	29.0	6.0	18.0	20.0	16.0	45.0	9.0	31.0	32.0	0.0	0.0	0.0	0.0
Roseococcus	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Roseomonas	0.0	0.0	9.0	8.0	2.0	0.0	4.0	21.0	5.0	7.0	11.0	4.0	39.0	11.0	6.0	6.0	0.0	0.0	0.0	0.0
Roseovarius	14.0	10.0	26.0	39.0	71.0	11.0	32.0	62.0	6.0	20.0	38.0	55.0	100.0	37.0	64.0	51.0	0.0	0.0	0.0	10.0
Rothia	0.0	2.0	0.0	2.0	3.0	1.0	0.0	2.0	0.0	1.0	2.0	0.0	0.0	3.0	9.0	0.0	0.0	0.0	0.0	0.0
Rubellimicrobium	0.0	0.0	5.0	7.0	1.0	0.0	5.0	13.0	0.0	1.0	4.0	2.0	11.0	7.0	2.0	0.0	0.0	0.0	0.0	0.0
Rubinisphaeraceae (uncultured)	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	9.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Rubribacterium	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Rubrimonas	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Rubripirellula	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rubritalea	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rubritepida	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Rubrivivax	3.0	3.0	7.0	7.0	1.0	7.0	2.0	3.0	3.0	2.0	4.0	7.0	2.0	16.0	0.0	0.0	0.0	0.0	0.0	6.0
Ruegeria	9.0	7.0	27.0	36.0	44.0	7.0	20.0	31.0	2.0	18.0	19.0	26.0	76.0	18.0	41.0	24.0	0.0	0.0	0.0	0.0
Rugamonas	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Ruminiclostridium	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
Ruminiclostridium 1	0.0	1.0	0.0	0.0	5.0	0.0	3.0	10.0	0.0	10.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Ruminiclostridium 5	1.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
Ruminiclostridium 6	4.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ruminiclostridium 9	0.0	2.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Ruminococcaceae (uncultured)	13.0	2.0	2.0	13.0	11.0	8.0	3.0	8.0	6.0	10.0	6.0	0.0	7.0	6.0	12.0	0.0	0.0	0.0	0.0	0.0
Ruminococcaceae NK4A214 group	0.0	2.0	0.0	6.0	0.0	0.0	0.0	2.0	1.0	1.0	1.0	0.0	0.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0
Ruminococcaceae UCG-002	3.0	0.0	0.0	11.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
Ruminococcaceae UCG-003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ruminococcaceae UCG-005	3.0	1.0	0.0	5.0	0.0	8.0	3.0	5.0	4.0	4.0	0.0	0.0	1.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
Ruminococcaceae UCG-009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ruminococcaceae UCG-010	3.0	0.0	0.0	1.0	0.0	0.0	4.0	2.0	1.0	1.0	0.0	0.0	4.0	2.0	4.0	10.0	0.0	0.0	0.0	0.0
Ruminococcaceae UCG-013	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Ruminococcaceae UCG-014	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0
Ruminococcus 1	6.0	0.0	0.0	6.0	0.0	7.0	1.0	8.0	3.0	5.0	5.0	0.0	3.0	9.0	5.0	6.0	0.0	0.0	0.0	0.0
Ruminococcus 2	4.0	2.0	0.0	9.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
Runella	13.0	10.0	15.0	0.0	14.0	13.0	11.0	6.0	8.0	18.0	13.0	7.0	3.0	69.0	11.0	7.0	0.0	0.0	0.0	35.0
SAR92 clade	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SCGC AAA164-E04	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SEEP-SRB1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SH-PL14	0.0	1.0	0.0	7.0	0.0	0.0	3.0	9.0	4.0	0.0	0.0	6.0	5.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0
SM1A02	0.0	2.0	0.0	1.0	0.0	0.0	1.0	2.0	4.0	2.0	0.0	4.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
SUP05 cluster	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SV1-3	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SWB02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Saccharibacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Saccharofermentans	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0
Saccharomonospora	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sagittula	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Salinibacter	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Salinibacterium	0.0	4.0	4.0	0.0	3.0	0.0	0.0	5.0	0.0	6.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
Salinicoccus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Salinicola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Salinirepens	3.0	0.0	0.0	1.0	2.0	2.0	0.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Salinispira	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Salmonella	0.0	0.0	2.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	2.0	0.0	2.0	2.0	0.0	0.0	185.0	200.0	241.0	0.0
Sandaracinaceae (uncultured)	1.0	8.0	5.0	27.0	3.0	12.0	5.0	22.0	21.0	6.0	2.0	6.0	125.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0
Sandaracinobacter	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sandaracinus	0.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
Sandarakinorhabdus	0.0	0.0	0.0	5.0	0.0	2.0	1.0	0.0	1.0	2.0	9.0	0.0	31.0	1.0	9.0	0.0	0.0	0.0	0.0	0.0
Sanguibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Saprospiraceae (uncultured)	31.0	15.0	11.0	9.0	9.0	17.0	30.0	19.0	78.0	34.0	26.0	38.0	17.0	523.0	20.0	11.0	0.0	0.0	0.0	18.0
Sarcina	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Schizothrix LEGE 07164	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Schlegelella	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Schlesneria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sedimentibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0
Sedimentitalea	0.0	3.0	3.0	3.0	3.0	0.0	0.0	7.0	0.0	3.0	4.0	4.0	3.0	2.0	9.0	0.0	0.0	0.0	0.0	0.0
Sediminibacterium	23.0	30.0	18.0	1.0	34.0	31.0	17.0	34.0	28.0	54.0	45.0	9.0	11.0	22.0	173.0	102.0	0.0	1.0	0.0	95.0
Sediminicola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sediminimonas	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Segetibacter	1.0	0.0	0.0	0.0	0.0	2.0	2.0	0.0	3.0	3.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Selenomonas	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Selenomonas 3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Seohaeicola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Serratia	15.0	6.0	9.0	19.0	5.0	2.0	5.0	11.0	8.0	0.0	1.0	4.0	21.0	16.0	3.0	0.0	72.0	42.0	63.0	24.0
Sh765B-TzT-35	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Shewanella	0.0	0.0	0.0	1.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Shimia	3.0	2.0	6.0	7.0	20.0	0.0	4.0	23.0	2.0	7.0	14.0	12.0	23.0	5.0	18.0	20.0	0.0	0.0	0.0	0.0
Shimwellia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Shinella	0.0	3.0	0.0	4.0	1.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Shuttleworthia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Siccibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0
Sideroxydans	3.0	5.0	1.0	9.0	1.0	6.0	5.0	5.0	4.0	10.0	5.0	5.0	10.0	8.0	1.0	0.0	0.0	0.0	0.0	0.0
Silanimonas	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
Silicimonas	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Silvanigrella	2.0	2.0	0.0	0.0	3.0	0.0	0.0	0.0	1.0	3.0	2.0	0.0	23.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Simonsiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Simplicispira	324.0	318.0	409.0	405.0	291.0	248.0	425.0	513.0	339.0	515.0	498.0	651.0	128.0	238.0	144.0	224.0	0.0	0.0	0.0	189.0
Singulisphaera	0.0	0.0	0.0	3.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Siphonobacter	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Skermanella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	2.0	0.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	122.0
Smithella	1.0	0.0	0.0	2.0	0.0	3.0	9.0	2.0	8.0	1.0	1.0	0.0	14.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Sneathiellaceae (uncultured)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Snodgrassella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sodalis	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	8.0	0.0
Solibacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0
Solimonadaceae (uncultured)	5.0	3.0	4.0	0.0	0.0	1.0	1.0	0.0	3.0	0.0	1.0	0.0	13.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0
Solimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Solirubrobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Solirubrobacteraceae (uncultured)	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Solitalea	0.0	9.0	0.0	0.0	24.0	2.0	1.0	10.0	0.0	14.0	3.0	0.0	0.0	1.0	14.0	8.0	0.0	0.0	0.0	9.0
Sorangium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0
Sphaerotilus	42.0	39.0	67.0	68.0	27.0	40.0	53.0	54.0	32.0	61.0	60.0	55.0	14.0	52.0	19.0	48.0	0.0	0.0	0.0	37.0
Sphingoaurantiacus	0.0	2.0	0.0	0.0	1.0	0.0	3.0	1.0	0.0	0.0	2.0	4.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sphingobacteriaceae (uncultured)	0.0	1.0	0.0	0.0	3.0	3.0	0.0	0.0	5.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sphingobacterium	6.0	2.0	0.0	2.0	0.0	4.0	3.0	1.0	11.0	2.0	1.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
Sphingobium	28.0	32.0	50.0	70.0	126.0	19.0	52.0	64.0	66.0	31.0	66.0	67.0	304.0	54.0	166.0	134.0	0.0	0.0	0.0	44.0
Sphingomicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sphingomonadaceae (uncultured)	35.0	36.0	39.0	66.0	115.0	41.0	63.0	65.0	51.0	62.0	120.0	44.0	322.0	56.0	368.0	305.0	0.0	0.0	0.0	24.0
Sphingomonas	73.0	71.0	183.0	269.0	345.0	92.0	144.0	199.0	137.0	101.0	170.0	198.0	1081.0	122.0	503.0	310.0	0.0	0.0	1.0	261.0
Sphingopyxis	31.0	28.0	54.0	65.0	105.0	28.0	61.0	49.0	47.0	42.0	54.0	34.0	312.0	40.0	166.0	122.0	0.0	0.0	0.0	15.0
Sphingorhabdus	41.0	22.0	84.0	94.0	104.0	38.0	68.0	41.0	77.0	36.0	51.0	45.0	487.0	68.0	119.0	103.0	0.0	0.0	0.0	20.0
Sphingosinicella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spirochaeta 2	0.0	0.0	0.0	2.0	0.0	0.0	3.0	1.0	5.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Spirochaetaceae (uncultured)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spirosoma	3.0	4.0	0.0	0.0	0.0	3.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0
Spirosomaceae (uncultured)	39.0	5.0	3.0	15.0	0.0	41.0	46.0	4.0	81.0	1.0	3.0	5.0	20.0	23.0	5.0	0.0	0.0	0.0	0.0	0.0
Spongiibacteraceae (uncultured)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sporacetigenium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sporanaerobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sporichthya	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sporichthyaceae (uncultured)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Sporobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sporocytophaga	1.0	1.0	0.0	0.0	0.0	5.0	0.0	1.0	0.0	1.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Sporolactobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sporomusa	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	3.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
Sporosarcina	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Stakelama	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Staphylococcus	5.0	9.0	13.0	5.0	4.0	8.0	5.0	4.0	14.0	5.0	8.0	17.0	7.0	8.0	4.0	17.0	2724.0	2618.0	2941.0	8.0
Starkeya	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Stella	0.0	1.0	0.0	3.0	4.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	6.0	24.0	2.0	3.0	0.0	0.0	0.0	0.0
Stenotrophobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Stenotrophomonas	18.0	19.0	12.0	113.0	14.0	20.0	26.0	31.0	40.0	18.0	19.0	25.0	28.0	73.0	9.0	13.0	0.0	0.0	0.0	13.0
Steroidobacter	1.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	102.0
Steroidobacteraceae (uncultured)	2.0	8.0	34.0	22.0	9.0	2.0	9.0	8.0	9.0	4.0	10.0	21.0	12.0	9.0	15.0	8.0	0.0	0.0	0.0	232.0
Sterolibacterium	5.0	6.0	0.0	13.0	2.0	5.0	6.0	6.0	4.0	6.0	2.0	0.0	7.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Stigonema SAG 48.90	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Streptococcus	2.0	3.0	3.0	2.0	0.0	3.0	0.0	5.0	0.0	6.0	2.0	0.0	0.0	13.0	4.0	0.0	30.0	21.0	31.0	3.0
Streptomyces	4.0	6.0	25.0	7.0	24.0	9.0	10.0	15.0	10.0	11.0	14.0	4.0	2.0	31.0	50.0	61.0	0.0	0.0	0.0	13.0
Streptosporangium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Subdoligranulum	14.0	3.0	9.0	17.0	5.0	10.0	2.0	1.0	3.0	1.0	2.0	0.0	8.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0
Subgroup 10	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Subgroup 23	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
