	1-April_genus.tsv	1-August_genus.tsv	1-June_genus.tsv	2-April_genus.tsv	2-August_genus.tsv	3-April_genus.tsv	4-April_genus.tsv	4-August_genus.tsv	5-April_genus.tsv	5-August_genus.tsv	6-August_genus.tsv	6-June_genus.tsv	7-April_genus.tsv	8-April_genus.tsv	9.1-August_genus.tsv	9.2-August_genus.tsv	Mock-April_genus.tsv	Mock-August_genus.tsv	Mock-June_genus.tsv	N-August_genus.tsv
1174-901-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
966-1	0.0	1.0	0.0	8.0	0.0	0.0	1.0	3.0	0.0	2.0	2.0	3.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
A714019	0.0	0.0	0.0	2.0	0.0	1.0	0.0	1.0	0.0	3.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A7P-90m	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
AAP99	5.0	6.0	2.0	11.0	1.0	5.0	1.0	6.0	8.0	8.0	3.0	0.0	2.0	68.0	3.0	0.0	0.0	0.0	0.0	0.0
ADurb.Bin063-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
AKYG587	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	1.0	3.0	7.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
AT-s3-44	0.0	1.0	0.0	2.0	2.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Acanthopleuribacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacteraceae (uncultured)	0.0	0.0	6.0	7.0	8.0	2.0	0.0	13.0	2.0	0.0	4.0	3.0	23.0	5.0	3.0	8.0	0.0	0.0	0.0	0.0
Acetobacterales&nbsp;Incertae&nbsp;Sedis (uncultured)	0.0	2.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacterium	0.0	1.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	1.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetonema	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Achromobacter	294.0	278.0	311.0	378.0	228.0	221.0	227.0	423.0	298.0	559.0	521.0	377.0	187.0	304.0	268.0	343.0	0.0	1.0	4.0	210.0
Acidaminobacter	6.0	1.0	0.0	3.0	2.0	4.0	4.0	5.0	6.0	4.0	3.0	0.0	0.0	3.0	4.0	2.0	0.0	0.0	0.0	0.0
Acidaminococcaceae (uncultured)	0.0	0.0	0.0	1.0	0.0	6.0	0.0	0.0	2.0	0.0	0.0	0.0	1.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidaminococcus	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0
Acidibacter	0.0	0.0	2.0	8.0	0.0	0.0	1.0	3.0	0.0	0.0	3.0	0.0	2.0	7.0	3.0	0.0	0.0	0.0	0.0	14.0
Acidiphilium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidithiobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidovorax	992.0	597.0	704.0	2012.0	462.0	814.0	1167.0	789.0	1008.0	820.0	765.0	1076.0	363.0	915.0	209.0	364.0	4.0	1.0	1.0	395.0
Acinetobacter	16.0	30.0	29.0	11.0	8.0	2.0	9.0	8.0	16.0	3.0	8.0	4.0	246.0	41.0	4.0	9.0	0.0	0.0	0.0	5.0
Actibacter	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actibacterium	0.0	2.0	16.0	11.0	26.0	2.0	2.0	17.0	2.0	11.0	6.0	16.0	35.0	11.0	22.0	17.0	0.0	0.0	0.0	0.0
Actimicrobium	4.0	0.0	0.0	3.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Actinobacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Actinomadura	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomyces	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
Actinoplanes	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adhaeribacter	1.0	1.0	0.0	0.0	2.0	1.0	4.0	0.0	0.0	3.0	1.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	6.0
Advenella	3.0	1.0	0.0	2.0	0.0	2.0	1.0	1.0	1.0	3.0	3.0	0.0	1.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
Aeribacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aerococcaceae (uncultured)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Aerococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0
Aeromicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Aeromonas	39.0	41.0	119.0	79.0	10.0	19.0	29.0	41.0	17.0	10.0	22.0	23.0	76.0	91.0	18.0	18.0	0.0	0.0	0.0	80.0
Aestuariivita	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aetherobacter	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Afifella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Afipia	0.0	3.0	0.0	2.0	7.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	13.0	10.0	1.0	0.0	0.0	0.0	0.0	19.0
Agathobacter	7.0	1.0	0.0	16.0	4.0	9.0	5.0	0.0	10.0	2.0	4.0	0.0	3.0	16.0	4.0	0.0	0.0	0.0	0.0	5.0
Agreia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Agrococcus	0.0	3.0	9.0	1.0	10.0	1.0	2.0	5.0	1.0	3.0	3.0	0.0	1.0	0.0	6.0	3.0	0.0	0.0	0.0	10.0
Agromyces	2.0	27.0	33.0	1.0	39.0	3.0	1.0	18.0	2.0	14.0	13.0	3.0	0.0	3.0	14.0	4.0	0.0	1.0	0.0	51.0
Ahrensia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Akkermansia	1.0	0.0	0.0	0.0	0.0	1.0	2.0	1.0	4.0	3.0	1.0	0.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0
Albidovulum	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	2.0	3.0	2.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Albimonas	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	3.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Albirhodobacter	0.0	0.0	0.0	4.0	5.0	0.0	0.0	2.0	0.0	3.0	0.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Alcaligenes	48.0	30.0	47.0	55.0	12.0	34.0	29.0	33.0	31.0	42.0	30.0	53.0	29.0	43.0	31.0	32.0	0.0	0.0	0.0	24.0
Alcanivorax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Algibacter	1.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Algicola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Algoriphagus	42.0	9.0	0.0	5.0	12.0	51.0	32.0	10.0	32.0	9.0	15.0	1.0	14.0	19.0	100.0	124.0	0.0	0.0	0.0	9.0
Alicycliphilus	5.0	4.0	7.0	19.0	3.0	6.0	14.0	2.0	9.0	6.0	4.0	9.0	4.0	10.0	2.0	0.0	0.0	0.0	0.0	0.0
Aliidiomarina	0.0	2.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Aliihoeflea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aliiroseovarius	0.0	1.0	3.0	2.0	10.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	4.0	1.0	4.0	5.0	0.0	0.0	0.0	0.0
Alishewanella	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alistipes	9.0	3.0	0.0	1.0	0.0	11.0	1.0	1.0	6.0	2.0	1.0	0.0	5.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0
Aliterella CENA595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkalibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkalibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkaliflexus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkaliphilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkanibacter	0.0	2.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkanindiges	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alloprevotella	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	24.0	19.0	50.0	93.0	95.0	28.0	73.0	195.0	29.0	27.0	29.0	64.0	356.0	61.0	20.0	36.0	0.0	0.0	0.0	9.0
Alsobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	6.0	12.0	0.0	0.0	0.0	48.0	25.0	0.0	0.0	0.0	0.0
Altererythrobacter	15.0	11.0	36.0	44.0	41.0	16.0	21.0	23.0	27.0	18.0	30.0	30.0	123.0	25.0	67.0	49.0	0.0	0.0	0.0	2.0
