	megablast	blastn	qiime_blastn	qiime_sklearn	mapseq	centrifuge	kraken2	minimap2(12)	mothur(6)	idtaxa	rdp	sintax	spingo(8)	gt
000226f4-2e76-43d0-8ec2-b4a5eee21b5d	Carnobacteriaceae	Carnobacteriaceae	Carnobacteriaceae	Carnobacteriaceae	Carnobacteriaceae	Bacillaceae	Enterococcaceae	Carnobacteriaceae	Carnobacteriaceae	Carnobacteriaceae	Carnobacteriaceae	Carnobacteriaceae	Carnobacteriaceae	Carnobacteriaceae
000858b1-e870-4c56-addf-53b0845f461c	Deinococcaceae	Deinococcaceae	Deinococcaceae	Deinococcaceae	Deinococcaceae	Deinococcaceae	Endozoicomonadaceae	Deinococcaceae	Deinococcaceae	Deinococcaceae	Deinococcaceae	Deinococcaceae	Deinococcaceae	Deinococcaceae
000d0090-9022-4f8e-adce-6fe9dd6f7e91	Clostridiaceae 1	Clostridiaceae 1	Clostridiaceae 1	Clostridiaceae 1	Clostridiaceae 1	Clostridiaceae 1	Clostridiaceae 1	Clostridiaceae 1	Clostridiaceae 1	Clostridiaceae 1	Clostridiaceae_1	Clostridiaceae	Clostridiaceae 1	Clostridiaceae 1
000ea0cb-3946-4f0d-a9fb-cac192d92df8	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae		Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae
00107782-f727-4b91-8cbc-4d283b45291d	Carnobacteriaceae	Carnobacteriaceae	Carnobacteriaceae	Dikarya	Carnobacteriaceae	Carnobacteriaceae	Bacillaceae	Carnobacteriaceae		Carnobacteriaceae	Carnobacteriaceae	Carnobacteriaceae	Carnobacteriaceae	Carnobacteriaceae
00144bd3-7eb8-4489-b43a-74f3af844ccd	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Dikarya	Burkholderiaceae		Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae
001b9fde-49df-47ba-9737-b24fdc0ccc50	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae
002341c8-80ca-4f3e-adf4-b05c94de9133	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Dikarya	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae
0027361f-2271-4ed1-9e89-5e60b418c805	Sporichthyaceae	Sporichthyaceae	Sporichthyaceae	Dikarya	Sporichthyaceae		Sporichthyaceae	Sporichthyaceae		Sporichthyaceae	Micromonosporaceae	Sporichthyaceae	Sporichthyaceae	Sporichthyaceae
002f6da1-94d3-412e-a088-efebae911bcc	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Dikarya	Burkholderiaceae		Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae
00331472-9c1a-4fc7-b60a-20f9b490a034	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae	Burkholderiaceae
00463c65-908e-4f52-9e66-171e95a0ff99	Saprospiraceae	Saprospiraceae	Saprospiraceae	Dikarya	Saprospiraceae	Saprospiraceae	Saprospiraceae	Saprospiraceae		Saprospiraceae	Saprospiraceae	Saprospiraceae	Saprospiraceae	Saprospiraceae
004a5570-7222-48ef-a0d6-bfb36b865197	Rhodocyclaceae	Rhodocyclaceae	Rhodocyclaceae	Dikarya	Rhodocyclaceae	Microbacteriaceae	Burkholderiaceae	Rhodocyclaceae	Rhodocyclaceae	Rhodocyclaceae	Burkholderiaceae	Rhodocyclaceae	Rhodocyclaceae	Rhodocyclaceae
006d71a3-5105-4be7-8d67-0e748790a5c9	Rhodobacteraceae	Rhodobacteraceae	Rhodobacteraceae	Dikarya	Rhodobacteraceae	Rhodobacteraceae	Rhodobacteraceae	Rhodobacteraceae	Mitochondria	Rhodobacteraceae	Rhodobacteraceae	Rhodobacteraceae	Rhodobacteraceae	Rhodobacteraceae
00745e83-f71a-4c10-a9b7-fb29552b048c	Spirosomaceae	Spirosomaceae	Spirosomaceae	Dikarya	Spirosomaceae	Spirosomaceae	Spirosomaceae	Spirosomaceae		Spirosomaceae	Spirosomaceae	Spirosomaceae	Spirosomaceae	Spirosomaceae
007c3594-d0d1-4a34-abac-2b0ed9345fff	Sulfurospirillaceae	Sulfurospirillaceae	Sulfurospirillaceae	Sulfurospirillaceae	Sulfurospirillaceae	Sulfurospirillaceae	Sulfurospirillaceae	Sulfurospirillaceae	Sulfurospirillaceae	Sulfurospirillaceae	Sulfurospirillaceae	Sulfurospirillaceae	Sulfurospirillaceae	Sulfurospirillaceae
