	1-April_genus.tsv	1-August_genus.tsv	1-June_genus.tsv	2-April_genus.tsv	2-August_genus.tsv	3-April_genus.tsv	4-April_genus.tsv	4-August_genus.tsv	5-April_genus.tsv	5-August_genus.tsv	6-August_genus.tsv	6-June_genus.tsv	7-April_genus.tsv	8-April_genus.tsv	9.1-August_genus.tsv	Mock-April_genus.tsv	Mock-August_genus.tsv	Mock-June_genus.tsv
1174-901-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
966-1	0.0	4.0	3.0	16.0	1.0	0.0	1.0	0.0	3.0	1.0	1.0	0.0	3.0	5.0	0.0	0.0	0.0	0.0
A7P-90m	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0
AAP99	6.0	5.0	4.0	15.0	4.0	4.0	1.0	11.0	23.0	3.0	4.0	0.0	3.0	101.0	1.0	0.0	0.0	0.0
AKYG587	0.0	0.0	0.0	0.0	0.0	0.0	1.0	10.0	0.0	1.0	1.0	4.0	8.0	0.0	4.0	0.0	0.0	0.0
AT-s3-44	0.0	0.0	0.0	3.0	0.0	0.0	0.0	4.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acanthopleuribacter	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetanaerobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetitomaculum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetoanaerobium	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacterium	0.0	0.0	0.0	2.0	0.0	0.0	1.0	4.0	2.0	3.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
Acetobacteroides	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetonema	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Achromobacter	4.0	1.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0
Acidaminobacter	3.0	2.0	0.0	3.0	1.0	4.0	3.0	12.0	3.0	6.0	1.0	0.0	0.0	7.0	8.0	0.0	0.0	0.0
Acidaminococcus	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	0.0
Acidibacter	0.0	0.0	3.0	11.0	0.0	0.0	0.0	5.0	0.0	2.0	0.0	0.0	4.0	17.0	3.0	0.0	0.0	0.0
Acidiphilium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Acidovorax	511.0	167.0	164.0	2028.0	119.0	335.0	534.0	483.0	515.0	143.0	81.0	91.0	188.0	1017.0	44.0	0.0	0.0	0.0
Acinetobacter	15.0	9.0	29.0	5.0	4.0	4.0	10.0	2.0	9.0	3.0	4.0	1.0	231.0	55.0	3.0	0.0	0.0	0.0
Actibacter	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actimicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Actinomyces	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
Actinophytocola	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinoplanes	0.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adhaeribacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aeromicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aeromonas	70.0	62.0	192.0	147.0	20.0	30.0	49.0	83.0	24.0	13.0	29.0	32.0	139.0	158.0	29.0	0.0	0.0	0.0
Aestuariicella	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
Aetherobacter	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Afipia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	25.0	2.0	0.0	0.0	0.0
Agathobacter	19.0	0.0	0.0	15.0	0.0	17.0	3.0	0.0	17.0	4.0	8.0	0.0	5.0	28.0	11.0	0.0	0.0	0.0
Alcanivorax	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Algoriphagus	24.0	3.0	0.0	12.0	4.0	35.0	29.0	12.0	38.0	12.0	22.0	5.0	27.0	6.0	111.0	0.0	0.0	0.0
Alicycliphilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
Alistipes	3.0	0.0	0.0	3.0	0.0	9.0	1.0	0.0	2.0	1.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
Aliterella CENA595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkalibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkaliphilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Alkanibacter	0.0	5.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Alkanindiges	4.0	1.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	2.0	0.0	0.0	0.0	0.0
Alloiococcus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium	30.0	16.0	54.0	74.0	69.0	17.0	51.0	211.0	16.0	21.0	35.0	53.0	362.0	60.0	17.0	0.0	1.0	0.0
Alsobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	1.0	12.0	0.0	0.0	0.0	70.0	0.0	0.0	0.0
Altererythrobacter	5.0	10.0	55.0	63.0	49.0	15.0	24.0	43.0	24.0	18.0	29.0	98.0	187.0	15.0	78.0	0.0	0.0	0.0
Alysiella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Amaricoccus	0.0	0.0	5.0	13.0	13.0	0.0	3.0	7.0	0.0	2.0	3.0	6.0	24.0	104.0	6.0	0.0	0.0	0.0
Aminobacter	0.0	2.0	5.0	11.0	0.0	0.0	5.0	10.0	0.0	0.0	1.0	0.0	30.0	3.0	6.0	0.0	0.0	0.0
Ampullimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Anaerobiospirillum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Anaerocolumna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerofilum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
Anaeromyxobacter	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0
Anaerosinus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Anaerospora	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
