	1-April_family.tsv	1-August_family.tsv	1-June_family.tsv	2-April_family.tsv	2-August_family.tsv	3-April_family.tsv	4-April_family.tsv	4-August_family.tsv	5-April_family.tsv	5-August_family.tsv	6-August_family.tsv	6-June_family.tsv	7-April_family.tsv	8-April_family.tsv	9.1-August_family.tsv	9.2-August_family.tsv	Mock-April_family.tsv	Mock-August_family.tsv	Mock-June_family.tsv	N-August_family.tsv
0319-6G20	24.0	7.0	11.0	9.0	3.0	17.0	25.0	21.0	21.0	12.0	18.0	2.0	294.0	42.0	16.0	12.0	0.0	0.0	0.0	0.0
053A03-B-DI-P58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
27F-1492R	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
37-13	0.0	0.0	0.0	0.0	0.0	0.0	6.0	2.0	9.0	2.0	1.0	0.0	2.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0
4572-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67-14	0.0	5.0	1.0	38.0	19.0	0.0	2.0	13.0	0.0	4.0	4.0	0.0	2.0	22.0	31.0	47.0	0.0	0.0	0.0	0.0
A0839	1.0	2.0	7.0	5.0	9.0	0.0	1.0	7.0	9.0	1.0	2.0	0.0	13.0	6.0	4.0	0.0	0.0	0.0	0.0	0.0
A21b	1.0	2.0	0.0	9.0	6.0	0.0	1.0	0.0	3.0	4.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	24.0
A4b	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
AB1	1.0	1.0	5.0	3.0	7.0	3.0	6.0	7.0	1.0	1.0	1.0	0.0	18.0	5.0	20.0	7.0	0.0	0.0	0.0	0.0
AEGEAN-169 marine group	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
AKAU3564 sediment group	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AKIW781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AKYH767	4.0	5.0	7.0	6.0	5.0	7.0	20.0	4.0	42.0	12.0	11.0	17.0	15.0	54.0	4.0	14.0	0.0	0.0	0.0	0.0
Acanthopleuribacteraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetobacteraceae	0.0	2.0	12.0	18.0	7.0	4.0	4.0	23.0	9.0	7.0	22.0	15.0	53.0	8.0	16.0	10.0	0.0	0.0	0.0	0.0
Acetobacterales Incertae Sedis	0.0	1.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	17.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Acidaminococcaceae	3.0	0.0	0.0	6.0	4.0	4.0	1.0	4.0	10.0	0.0	0.0	2.0	1.0	12.0	1.0	0.0	0.0	0.0	0.0	0.0
Acidiferrobacteraceae	4.0	0.0	8.0	9.0	0.0	2.0	0.0	4.0	3.0	2.0	1.0	0.0	50.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidithiobacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidobacteriaceae (Subgroup 1)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomycetaceae	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Aeromonadaceae	127.0	135.0	261.0	146.0	53.0	32.0	99.0	109.0	19.0	29.0	24.0	25.0	214.0	275.0	54.0	53.0	0.0	0.0	0.0	93.0
