	1-April_genus.tsv	1-August_genus.tsv	1-June_genus.tsv	2-April_genus.tsv	2-August_genus.tsv	3-April_genus.tsv	4-April_genus.tsv	4-August_genus.tsv	5-April_genus.tsv	5-August_genus.tsv	6-August_genus.tsv	6-June_genus.tsv	7-April_genus.tsv	8-April_genus.tsv	9.1-August_genus.tsv	Mock-April_genus.tsv	Mock-August_genus.tsv	Mock-June_genus.tsv
Anoxybacillus	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aphanizomenon NIES81	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aquabacterium	730.0	224.0	993.0	1301.0	135.0	551.0	311.0	370.0	701.0	153.0	174.0	43.0	346.0	323.0	48.0	1.0	4.0	0.0
Aquamicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Aquaspirillum	0.0	2.0	7.0	2.0	0.0	0.0	0.0	0.0	1.0	4.0	3.0	0.0	18.0	0.0	3.0	0.0	0.0	0.0
Aquicella	6.0	3.0	0.0	12.0	5.0	1.0	2.0	3.0	0.0	8.0	6.0	0.0	37.0	12.0	7.0	0.0	0.0	0.0
Aquimonas	0.0	1.0	0.0	6.0	3.0	0.0	0.0	4.0	3.0	5.0	4.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Aquisphaera	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arcicella	9.0	5.0	11.0	5.0	0.0	5.0	5.0	0.0	0.0	6.0	0.0	24.0	3.0	4.0	0.0	0.0	0.0	0.0
Arcobacter	3026.0	269.0	188.0	369.0	183.0	4462.0	1430.0	219.0	3871.0	675.0	459.0	29.0	790.0	5649.0	6258.0	3.0	2.0	0.0
Arenimonas	95.0	133.0	110.0	452.0	82.0	66.0	197.0	217.0	348.0	162.0	198.0	214.0	139.0	165.0	97.0	0.0	1.0	2.0
Armatimonas	6.0	3.0	7.0	17.0	11.0	5.0	15.0	216.0	15.0	447.0	659.0	212.0	10.0	1.0	837.0	0.0	5.0	0.0
Arsenicitalea	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
Arsenophonus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Arthrobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Asaia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Asticcacaulis	0.0	1.0	0.0	5.0	0.0	0.0	4.0	5.0	0.0	0.0	0.0	0.0	25.0	1.0	0.0	0.0	0.0	0.0
Atlantibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Atopococcus	0.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0
Aurantimicrobium	10.0	84.0	361.0	18.0	140.0	3.0	7.0	173.0	2.0	113.0	83.0	50.0	1.0	8.0	106.0	0.0	2.0	4.0
Aureimonas	0.0	0.0	0.0	8.0	0.0	0.0	2.0	1.0	0.0	2.0	0.0	0.0	8.0	0.0	1.0	0.0	0.0	0.0
Azoarcus	0.0	0.0	0.0	2.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Azohydromonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Azonexus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Azorhizobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Azospira	3.0	10.0	0.0	3.0	10.0	2.0	3.0	7.0	0.0	4.0	3.0	0.0	5.0	3.0	0.0	0.0	0.0	0.0
Azospirillum	0.0	1.0	4.0	0.0	9.0	0.0	0.0	9.0	0.0	3.0	4.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
Azotobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Azovibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BCf9-17 termite group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BD1-7 clade	12.0	16.0	12.0	15.0	10.0	3.0	29.0	20.0	4.0	4.0	3.0	12.0	393.0	22.0	7.0	0.0	0.0	0.0
BIyi10	5.0	2.0	7.0	4.0	3.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	171.0	0.0	0.0	0.0	0.0	0.0
BSV13	2.0	6.0	0.0	3.0	0.0	2.0	2.0	9.0	12.0	4.0	4.0	0.0	6.0	2.0	5.0	0.0	0.0	0.0
Bacillus	4.0	26.0	9.0	10.0	27.0	8.0	10.0	52.0	6.0	66.0	40.0	46.0	3.0	31.0	19.0	4635.0	4441.0	4762.0
Bact-08	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bacteriovorax	19.0	3.0	0.0	2.0	0.0	26.0	19.0	6.0	55.0	4.0	3.0	0.0	437.0	8.0	1.0	0.0	0.0	0.0
Bacteroides	20.0	4.0	0.0	14.0	4.0	18.0	12.0	5.0	15.0	2.0	4.0	0.0	2.0	4.0	9.0	0.0	0.0	0.0
Bauldia	0.0	4.0	4.0	5.0	9.0	5.0	1.0	19.0	4.0	2.0	4.0	4.0	24.0	2.0	1.0	0.0	0.0	0.0
Bdellovibrio	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	1.0	0.0	0.0	0.0	0.0
Beggiatoa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Belnapia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Blastochloris	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Blastomonas	0.0	0.0	0.0	1.0	6.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0
Blastopirellula	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Blautia	30.0	5.0	2.0	21.0	5.0	26.0	17.0	5.0	24.0	14.0	5.0	2.0	15.0	66.0	5.0	0.0	0.0	0.0
Bosea	0.0	1.0	11.0	5.0	10.0	0.0	5.0	7.0	0.0	1.0	2.0	0.0	28.0	3.0	2.0	0.0	0.0	0.0
Brachymonas	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
Bradyrhizobium	9.0	1.0	1.0	35.0	13.0	5.0	7.0	17.0	2.0	7.0	8.0	0.0	103.0	30.0	17.0	0.0	0.0	0.0
Brenneria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Brevundimonas	2.0	3.0	8.0	41.0	11.0	14.0	8.0	2.0	17.0	1.0	3.0	20.0	103.0	13.0	2.0	0.0	0.0	0.0
Brooklawnia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bryobacter	0.0	0.0	0.0	1.0	0.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0
Bryocella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Budvicia	9.0	0.0	0.0	5.0	0.0	1.0	1.0	7.0	3.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0
Burkholderia-Caballeronia-Paraburkholderia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Buttiauxella	14.0	6.0	4.0	9.0	3.0	0.0	15.0	10.0	3.0	0.0	0.0	0.0	20.0	4.0	0.0	1.0	1.0	0.0
Butyricicoccus	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Butyricimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Butyrivibrio 2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
C1-B045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	0.0	0.0	0.0	0.0	0.0
C39	2.0	10.0	16.0	5.0	14.0	3.0	3.0	16.0	2.0	13.0	7.0	0.0	3.0	3.0	21.0	0.0	0.0	0.0
CAG-352	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CAG-56	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CL500-29 marine group	6.0	6.0	17.0	23.0	17.0	7.0	3.0	30.0	4.0	17.0	12.0	0.0	6.0	24.0	156.0	0.0	0.0	0.0
CL500-3	0.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	4.0	0.0	0.0	0.0	0.0
CM1G08	7.0	2.0	0.0	21.0	2.0	8.0	25.0	8.0	18.0	3.0	6.0	0.0	4.0	7.0	0.0	0.0	0.0	0.0
Caedibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	1.0	0.0	0.0	0.0	0.0
Caenimonas	5.0	3.0	3.0	36.0	0.0	13.0	13.0	13.0	19.0	5.0	11.0	11.0	12.0	139.0	2.0	0.0	0.0	0.0
Caldicoprobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Caldisericum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Calothrix KVSF5	0.0	1.0	8.0	0.0	4.0	0.0	0.0	5.0	9.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Campylobacter	3.0	1.0	0.0	0.0	0.0	3.0	1.0	5.0	5.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Accumulibacter	17.0	13.0	8.0	54.0	14.0	17.0	11.0	12.0	31.0	14.0	12.0	7.0	278.0	50.0	4.0	0.0	0.0	0.0
Candidatus Alysiosphaera	0.0	2.0	2.0	6.0	7.0	0.0	0.0	2.0	0.0	1.0	5.0	6.0	5.0	28.0	4.0	0.0	0.0	0.0
Candidatus Amoebophilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Anammoximicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Candidatus Aquiluna	0.0	123.0	12.0	0.0	214.0	7.0	0.0	86.0	0.0	83.0	78.0	3.0	5.0	1.0	109.0	0.0	0.0	0.0
Candidatus Aquirestis	32.0	1.0	0.0	9.0	0.0	20.0	13.0	0.0	42.0	9.0	17.0	5.0	13.0	6.0	0.0	0.0	0.0	0.0
Candidatus Bacilloplasma	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Bealeia	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	2.0	3.0	0.0	0.0	0.0
Candidatus Berkiella	1.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0	1.0	2.0	0.0	48.0	5.0	0.0	0.0	0.0	0.0
Candidatus Brocadia	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Captivus	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	3.0	0.0	0.0	0.0
Candidatus Competibacter	0.0	0.0	0.0	7.0	0.0	0.0	2.0	4.0	0.0	2.0	3.0	0.0	52.0	9.0	0.0	0.0	0.0	0.0
Candidatus Endoecteinascidia	3.0	0.0	0.0	1.0	3.0	3.0	6.0	2.0	1.0	2.0	0.0	0.0	44.0	2.0	2.0	0.0	0.0	0.0
Candidatus Endomicrobium	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Finniella	0.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	0.0	0.0	1.0	0.0	3.0	1.0	0.0	0.0	0.0	0.0
Candidatus Flaviluna	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Jidaibacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Limnoluna	4.0	19.0	4.0	1.0	4.0	9.0	4.0	4.0	1.0	14.0	5.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0
Candidatus Megaira	0.0	1.0	0.0	0.0	0.0	3.0	6.0	4.0	3.0	2.0	5.0	0.0	16.0	3.0	10.0	0.0	0.0	0.0
Candidatus Methylomirabilis	1.0	2.0	0.0	1.0	0.0	0.0	1.0	3.0	0.0	6.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0
Candidatus Methylopumilus	38.0	21.0	40.0	20.0	4.0	45.0	43.0	17.0	25.0	91.0	83.0	49.0	23.0	20.0	24.0	0.0	0.0	0.0
Candidatus Microthrix	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0
Candidatus Midichloria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0
Candidatus Moduliflexus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Nitrotoga	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	10.0	3.0	1.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
Candidatus Odyssella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0
Candidatus Omnitrophus	8.0	4.0	9.0	12.0	4.0	33.0	20.0	17.0	36.0	34.0	18.0	10.0	8.0	11.0	2.0	0.0	0.0	0.0
Candidatus Ovatusbacter	1.0	4.0	0.0	1.0	2.0	0.0	0.0	4.0	0.0	3.0	0.0	0.0	15.0	6.0	0.0	0.0	0.0	0.0
Candidatus Paracaedibacter	0.0	2.0	4.0	2.0	8.0	4.0	10.0	1.0	1.0	1.0	1.0	0.0	20.0	5.0	11.0	0.0	0.0	0.0
Candidatus Planktoluna	11.0	21.0	183.0	13.0	40.0	21.0	18.0	28.0	12.0	38.0	24.0	26.0	12.0	8.0	59.0	0.0	0.0	0.0
Candidatus Planktophila	8.0	1.0	9.0	4.0	2.0	4.0	6.0	31.0	9.0	16.0	16.0	0.0	4.0	2.0	102.0	0.0	0.0	0.0
Candidatus Soleaferrea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0
Candidatus Symbiobacter	256.0	43.0	25.0	311.0	23.0	143.0	320.0	15.0	256.0	68.0	46.0	48.0	96.0	147.0	8.0	0.0	0.0	0.0
Candidatus Turbabacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Candidatus Xenohaliotis	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caproiciproducens	0.0	0.0	0.0	0.0	5.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Carboxylicivirga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Carnobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Catellicoccus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Caulobacter	28.0	8.0	6.0	66.0	27.0	36.0	51.0	50.0	56.0	12.0	21.0	17.0	457.0	33.0	21.0	0.0	0.0	0.0
Cavicella	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0
Cedecea	0.0	1.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellulosilyticum	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cellvibrio	4.0	6.0	2.0	7.0	4.0	6.0	9.0	41.0	0.0	3.0	3.0	0.0	13.0	2.0	10.0	0.0	0.0	0.0
Cephaloticoccus	0.0	1.0	0.0	4.0	0.0	0.0	4.0	1.0	7.0	2.0	2.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0
Cerasicoccus	0.0	0.0	0.0	3.0	0.0	0.0	3.0	1.0	7.0	0.0	0.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0
Cereibacter	4.0	1.0	15.0	22.0	2.0	10.0	16.0	3.0	2.0	0.0	1.0	24.0	70.0	7.0	0.0	0.0	0.0	0.0
Cetobacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chamaesiphon PCC-7430	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chelatococcus	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Chiayiivirga	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Chitinibacter	0.0	13.0	6.0	0.0	21.0	0.0	3.0	33.0	0.0	6.0	8.0	0.0	8.0	0.0	1.0	0.0	0.0	0.0
Chitinilyticum	0.0	2.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Chitinimonas	0.0	3.0	0.0	6.0	4.0	3.0	0.0	1.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
