	1-April_family.tsv	1-August_family.tsv	1-June_family.tsv	2-April_family.tsv	2-August_family.tsv	3-April_family.tsv	4-April_family.tsv	4-August_family.tsv	5-April_family.tsv	5-August_family.tsv	6-August_family.tsv	6-June_family.tsv	7-April_family.tsv	8-April_family.tsv	9.1-August_family.tsv	9.2-August_family.tsv	N-August_family.tsv	P-April_family.tsv	P-August_family.tsv	P-June_family.tsv
01D2Z36	0.0	0.0	0.0	9.0	0.0	6.0	6.0	15.0	1.0	9.0	12.0	0.0	12.0	1.0	3.0	4.0	0.0	0.0	0.0	0.0
0319-6G20	17.0	8.0	9.0	6.0	1.0	13.0	13.0	19.0	18.0	16.0	12.0	4.0	195.0	29.0	15.0	7.0	7.0	0.0	0.0	0.0
053A03-B-DI-P58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
37-13	1.0	2.0	0.0	0.0	0.0	2.0	7.0	2.0	10.0	6.0	4.0	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0	0.0
4572-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67-14	0.0	3.0	2.0	34.0	10.0	0.0	3.0	6.0	0.0	1.0	1.0	0.0	0.0	10.0	28.0	32.0	0.0	0.0	0.0	0.0
A0839	1.0	1.0	0.0	9.0	10.0	0.0	1.0	6.0	4.0	0.0	1.0	0.0	9.0	10.0	12.0	6.0	0.0	0.0	0.0	0.0
A21b	1.0	4.0	3.0	6.0	5.0	0.0	2.0	6.0	8.0	4.0	2.0	1.0	5.0	4.0	0.0	0.0	7.0	0.0	0.0	0.0
A4b	0.0	0.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	2.0	2.0	0.0	3.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
AB-539-J10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB1	0.0	0.0	0.0	1.0	5.0	0.0	1.0	1.0	1.0	3.0	4.0	0.0	2.0	3.0	7.0	0.0	0.0	0.0	0.0	0.0
AEGEAN-169 marine group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0
AKAU3564 sediment group	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AKIW781	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
