"name"	"taxRank"	"taxID"	"Max"	"centrifuge_16s_classification_loman_loman.kreport.cladeReads"	"Max.1"	"centrifuge_16s_classification_loman_loman.kreport.cladeReads.."	"lineage"
"Spinocerylon sp. UPOL 002167"	"S"	432966	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cucujoidea>Cerylonidae>Spinocerylon"
"Endomychidae"	"F"	196997	2	2	6.397e-05	6.397e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cucujoidea"
"Callimodapsa"	"G"	764641	2	2	6.397e-05	6.397e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cucujoidea>Endomychidae"
"Callimodapsa hova"	"S"	764642	2	2	6.397e-05	6.397e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cucujoidea>Endomychidae>Callimodapsa"
"Cryptophagidae"	"F"	196989	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cucujoidea"
"Caenoscelis"	"G"	484817	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cucujoidea>Cryptophagidae"
"Caenoscelis sp. JAR-2007"	"S"	484818	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cucujoidea>Cryptophagidae>Caenoscelis"
"Erotylidae"	"F"	196992	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cucujoidea"
"Languriinae"	"-"	196991	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cucujoidea>Erotylidae"
"Cryptophilus"	"G"	295905	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cucujoidea>Erotylidae>Languriinae"
"Cryptophilus sp. TJH-2004"	"S"	295906	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cucujoidea>Erotylidae>Languriinae>Cryptophilus"
"Bothrideridae"	"F"	196993	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cucujoidea"
"Dastarcus"	"G"	1169898	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cucujoidea>Bothrideridae"
"Dastarcus vetustus"	"S"	1778206	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cucujoidea>Bothrideridae>Dastarcus"
"Alexiidae"	"F"	196995	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cucujoidea"
"Alexia"	"G"	347478	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cucujoidea>Alexiidae"
"Alexia pilifera"	"S"	347479	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cucujoidea>Alexiidae>Alexia"
"Corylophidae"	"F"	196998	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cucujoidea"
"Arthrolips"	"G"	1285986	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cucujoidea>Corylophidae"
"Arthrolips sp. CO973"	"S"	1285990	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cucujoidea>Corylophidae>Arthrolips"
"Cleroidea"	"-"	71525	2	2	6.397e-05	6.397e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia"
"Trogossitidae"	"F"	186089	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cleroidea"
"Trogossitinae"	"-"	295802	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cleroidea>Trogossitidae"
"Leperina"	"G"	433115	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cleroidea>Trogossitidae>Trogossitinae"
"Leperina tibialis"	"S"	433236	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cleroidea>Trogossitidae>Trogossitinae>Leperina"
"Melyridae"	"F"	186093	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cleroidea"
"Melyrinae"	"-"	353829	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cleroidea>Melyridae"
"Falsomelyris"	"G"	433103	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Cleroidea>Melyridae>Melyrinae"
"Lymexyloidea"	"-"	71524	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia"
"Lymexylidae"	"F"	295945	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Lymexyloidea"
"Atractocerus"	"G"	351662	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Lymexyloidea>Lymexylidae"
"Atractocerus sp. DDM0261"	"S"	1735816	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Cucujiformia>Lymexyloidea>Lymexylidae>Atractocerus"
"Staphyliniformia"	"-"	41085	34	34	0.001088	0.001088	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga"
"Staphylinoidea"	"-"	75543	23	23	0.0007357	0.0007357	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia"
"Staphylinidae"	"F"	29026	17	17	0.0005438	0.0005438	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea"
"Omaliinae group"	"-"	144867	12	12	0.0003838	0.0003838	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae"
"Glypholomatinae"	"-"	295602	10	10	0.0003199	0.0003199	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Omaliinae&nbsp;group"
"Glypholoma"	"G"	295603	10	10	0.0003199	0.0003199	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Omaliinae&nbsp;group>Glypholomatinae"
"Glypholoma pecki"	"S"	1542156	10	10	0.0003199	0.0003199	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Omaliinae&nbsp;group>Glypholomatinae>Glypholoma"
"Omaliinae"	"-"	66542	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Omaliinae&nbsp;group"
"Neophonus"	"G"	351540	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Omaliinae&nbsp;group>Omaliinae"
"Neophonus bruchi"	"S"	1143075	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Omaliinae&nbsp;group>Omaliinae>Neophonus"
"Pselaphinae"	"-"	66544	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Omaliinae&nbsp;group"
"Micrapoderiger"	"G"	1535468	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Omaliinae&nbsp;group>Pselaphinae"
"Micrapoderiger minutissimus"	"S"	1535469	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Omaliinae&nbsp;group>Pselaphinae>Micrapoderiger"
"Tachyporinae group"	"-"	351509	2	2	6.397e-05	6.397e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae"
"Aleocharinae"	"-"	135860	2	2	6.397e-05	6.397e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Tachyporinae&nbsp;group"
"Liparocephalini"	"-"	619368	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Tachyporinae&nbsp;group>Aleocharinae"
"Halorhadinus"	"G"	619341	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Tachyporinae&nbsp;group>Aleocharinae>Liparocephalini"
"Halorhadinus aequalis"	"S"	619342	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Tachyporinae&nbsp;group>Aleocharinae>Liparocephalini>Halorhadinus"
"Aleocharinae incertae sedis"	"-"	866099	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Tachyporinae&nbsp;group>Aleocharinae"
"Paruconosima"	"G"	365688	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Tachyporinae&nbsp;group>Aleocharinae>Aleocharinae&nbsp;incertae&nbsp;sedis"
"Paruconosima sp. BMNH696311"	"S"	365689	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Tachyporinae&nbsp;group>Aleocharinae>Aleocharinae&nbsp;incertae&nbsp;sedis>Paruconosima"
"Staphylininae group"	"-"	351514	2	2	6.397e-05	6.397e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae"
"Staphylininae"	"-"	82886	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Staphylininae&nbsp;group"
"Staphylinini"	"-"	295648	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Staphylininae&nbsp;group>Staphylininae"
"Oxyporinae"	"-"	82902	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Staphylininae&nbsp;group"
"Oxyporus"	"G"	82903	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Staphylininae&nbsp;group>Oxyporinae"
"Oxyporus maxillosus"	"S"	295610	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Staphylininae&nbsp;group>Oxyporinae>Oxyporus"
"Oxytelinae group"	"-"	351512	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae"
"Osoriinae"	"-"	295624	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Oxytelinae&nbsp;group"
"Renardia"	"G"	1542281	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Oxytelinae&nbsp;group>Osoriinae"
"Renardia cf. nigrella DDM0058"	"S"	1542306	1	1	3.199e-05	3.199e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea>Staphylinidae>Oxytelinae&nbsp;group>Osoriinae>Renardia"
"Scydmaenidae"	"F"	66528	2	2	6.397e-05	6.397e-05	"cellular&nbsp;organisms>Eukaryota>Opisthokonta>Metazoa>Eumetazoa>Bilateria>Protostomia>Ecdysozoa>Panarthropoda>Arthropoda>Mandibulata>Pancrustacea>Hexapoda>Insecta>Dicondylia>Pterygota>Neoptera>Holometabola>Coleoptera>Polyphaga>Staphyliniformia>Staphylinoidea"
