	1-April_family.tsv	1-August_family.tsv	1-June_family.tsv	2-April_family.tsv	2-August_family.tsv	3-April_family.tsv	4-April_family.tsv	4-August_family.tsv	5-April_family.tsv	5-August_family.tsv	6-August_family.tsv	6-June_family.tsv	7-April_family.tsv	8-April_family.tsv	9.1-August_family.tsv	9.2-August_family.tsv	N-August_family.tsv	P-April_family.tsv	P-August_family.tsv	P-June_family.tsv
01D2Z36	1.0	1.0	0.0	2.0	0.0	9.0	3.0	15.0	3.0	14.0	6.0	0.0	8.0	2.0	4.0	8.0	0.0	0.0	0.0	0.0
0319-6G20	12.0	14.0	15.0	10.0	1.0	12.0	12.0	17.0	15.0	7.0	18.0	1.0	180.0	33.0	14.0	9.0	3.0	0.0	0.0	0.0
053A03-B-DI-P58	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
37-13	2.0	4.0	0.0	2.0	4.0	4.0	2.0	1.0	10.0	1.0	4.0	0.0	1.0	17.0	2.0	0.0	0.0	0.0	0.0	0.0
4572-13	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
67-14	0.0	2.0	3.0	24.0	11.0	0.0	2.0	11.0	0.0	4.0	1.0	0.0	3.0	14.0	34.0	31.0	0.0	0.0	0.0	0.0
A0839	1.0	1.0	0.0	4.0	4.0	0.0	0.0	9.0	6.0	0.0	0.0	0.0	20.0	8.0	8.0	5.0	0.0	0.0	0.0	0.0
A21b	2.0	3.0	6.0	12.0	5.0	3.0	3.0	2.0	2.0	3.0	1.0	4.0	2.0	2.0	0.0	0.0	18.0	0.0	0.0	0.0
A4b	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	2.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
AB-539-J10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AB1	0.0	0.0	0.0	1.0	9.0	0.0	2.0	1.0	1.0	2.0	0.0	0.0	4.0	4.0	3.0	0.0	0.0	0.0	0.0	0.0
AEGEAN-169 marine group	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AKAU3564 sediment group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AKIW781	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AKYH767	6.0	9.0	5.0	13.0	8.0	7.0	12.0	6.0	37.0	16.0	11.0	12.0	10.0	25.0	3.0	19.0	0.0	0.0	0.0	0.0
Acetobacteraceae	2.0	4.0	11.0	23.0	14.0	4.0	11.0	29.0	10.0	7.0	24.0	17.0	89.0	21.0	25.0	21.0	0.0	0.0	0.0	0.0
Acetobacterales Incertae Sedis	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	6.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0
Acidaminococcaceae	1.0	1.0	0.0	8.0	0.0	5.0	1.0	4.0	3.0	1.0	0.0	3.0	0.0	10.0	4.0	0.0	0.0	0.0	0.0	0.0
Acidiferrobacteraceae	3.0	1.0	1.0	3.0	0.0	0.0	2.0	0.0	3.0	2.0	2.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidithiobacillaceae	2.0	2.0	0.0	2.0	2.0	2.0	1.0	2.0	6.0	2.0	1.0	2.0	6.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0
Acidobacteriaceae (Subgroup 1)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acidothermaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomarinaceae	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Actinomycetaceae	0.0	2.0	0.0	2.0	3.0	0.0	0.0	2.0	0.0	1.0	0.0	0.0	1.0	1.0	6.0	0.0	0.0	0.0	0.0	0.0
Actinomycetales Incertae Sedis	0.0	1.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Aerococcaceae	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	7.0
Aeromonadaceae	62.0	74.0	169.0	74.0	35.0	17.0	48.0	74.0	16.0	12.0	18.0	22.0	108.0	136.0	22.0	20.0	62.0	4.0	1.0	2.0
Akkermansiaceae	5.0	2.0	0.0	1.0	0.0	2.0	3.0	9.0	3.0	7.0	5.0	0.0	15.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0
Alcanivoracaceae	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0
Alicyclobacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
Alteromonadaceae	19.0	21.0	43.0	12.0	8.0	16.0	19.0	51.0	7.0	6.0	3.0	14.0	18.0	13.0	3.0	12.0	18.0	3.0	1.0	0.0
Amoebophilaceae	19.0	11.0	12.0	3.0	13.0	24.0	23.0	9.0	24.0	13.0	8.0	1.0	7.0	16.0	14.0	18.0	9.0	0.0	0.0	0.0
Anaerolineaceae	0.0	1.0	0.0	4.0	0.0	0.0	2.0	6.0	1.0	1.0	2.0	0.0	5.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
Anaplasmataceae	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	2.0	2.0	0.0	6.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
Aquaspirillaceae	8.0	7.0	16.0	6.0	8.0	2.0	7.0	9.0	4.0	3.0	2.0	3.0	90.0	15.0	7.0	12.0	0.0	0.0	0.0	0.0
Archangiaceae	0.0	0.0	0.0	2.0	0.0	0.0	0.0	2.0	1.0	0.0	0.0	0.0	7.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Arcobacteraceae	2266.0	238.0	158.0	307.0	171.0	3471.0	1159.0	185.0	2907.0	436.0	367.0	20.0	540.0	4458.0	3947.0	5530.0	1002.0	3.0	1.0	0.0
Arctic95B-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ardenticatenaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Arenicellaceae	0.0	0.0	0.0	2.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	12.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Armatimonadaceae	2.0	5.0	5.0	9.0	13.0	1.0	8.0	181.0	6.0	355.0	512.0	203.0	3.0	4.0	622.0	423.0	161.0	0.0	1.0	0.0
Atopobiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Azospirillaceae	4.0	19.0	11.0	9.0	54.0	0.0	6.0	103.0	4.0	16.0	11.0	9.0	19.0	8.0	4.0	5.0	137.0	0.0	0.0	0.0
Azospirillales Incertae Sedis	0.0	2.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0	33.0	5.0	0.0	0.0	0.0	0.0	0.0
B1-7BS	0.0	2.0	3.0	7.0	9.0	2.0	3.0	6.0	9.0	2.0	0.0	5.0	7.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0
